Main Reason to Travel,Most Important Factor for Trip Planning,Favorite Activity,Most Appealing Destination,Ideal Group Size,Gender,Student,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Recommendation
To see the wonders of nature,Proximity to nature,Helicopter Ride,An overnight backpacking trip on a volcano,2,Male,Yes,4,6,2,5,6,Carribean Islands
To explore architecture and history,Proximity to nature,Hike,An overnight backpacking trip on a volcano,2,Male,Yes,4,6,2,5,6,Carribean Islands
To explore architecture and history,Proximity to nature,Swim,An overnight backpacking trip on a volcano,2,Male,Yes,4,6,2,5,6,Carribean Islands
To explore architecture and history,Proximity to nature,Pool,An overnight backpacking trip on a volcano,2,Male,Yes,4,6,2,5,6,Carribean Islands
To explore architecture and history,Proximity to nature,Surf,An overnight backpacking trip on a volcano,2,Male,Yes,4,6,2,5,6,Carribean Islands
To explore architecture and history,Proximity to nature,Helicopter Ride,An overnight backpacking trip on a volcano,2,Male,Yes,4,6,2,5,6,Carribean Islands
To go on an adventure,Proximity to nature,Hike,An overnight backpacking trip on a volcano,2,Male,Yes,4,6,2,5,6,Carribean Islands
To go on an adventure,Proximity to nature,Swim,An overnight backpacking trip on a volcano,2,Male,Yes,4,6,2,5,6,Carribean Islands
To go on an adventure,Proximity to nature,Pool,An overnight backpacking trip on a volcano,2,Male,Yes,4,6,2,5,6,Carribean Islands
To go on an adventure,Proximity to nature,Surf,An overnight backpacking trip on a volcano,2,Male,Yes,4,6,2,5,6,Carribean Islands
To go on an adventure,Proximity to nature,Helicopter Ride,An overnight backpacking trip on a volcano,2,Male,Yes,4,6,2,5,6,Carribean Islands
To look at and appreciate beautiful places,Proximity to nature,Hike,An overnight backpacking trip on a volcano,2,Male,Yes,4,6,2,5,6,Carribean Islands
To look at and appreciate beautiful places,Proximity to nature,Swim,An overnight backpacking trip on a volcano,2,Male,Yes,4,6,2,5,6,Carribean Islands
To look at and appreciate beautiful places,Proximity to nature,Pool,An overnight backpacking trip on a volcano,2,Male,Yes,4,6,2,5,6,Carribean Islands
To look at and appreciate beautiful places,Proximity to nature,Surf,An overnight backpacking trip on a volcano,2,Male,Yes,4,6,2,5,6,Carribean Islands
To look at and appreciate beautiful places,Proximity to nature,Helicopter Ride,An overnight backpacking trip on a volcano,2,Male,Yes,4,6,2,5,6,Carribean Islands
To see the wonders of nature,Time,Surf,An overnight backpacking trip on a volcano,4,Female,Yes,5,6,3,3,5,Carribean Islands
To see the wonders of nature,Time,Hike,An overnight backpacking trip on a volcano,4,Female,Yes,5,6,3,3,5,Carribean Islands
To see the wonders of nature,Time,Snorkel,An overnight backpacking trip on a volcano,4,Female,Yes,5,6,3,3,5,Carribean Islands
To see the wonders of nature,Time,Nature,An overnight backpacking trip on a volcano,4,Female,Yes,5,6,3,3,5,Carribean Islands
To learn more about a language or a culture,Time,Surf,An overnight backpacking trip on a volcano,4,Female,Yes,5,6,3,3,5,Carribean Islands
To learn more about a language or a culture,Time,Hike,An overnight backpacking trip on a volcano,4,Female,Yes,5,6,3,3,5,Carribean Islands
To learn more about a language or a culture,Time,Snorkel,An overnight backpacking trip on a volcano,4,Female,Yes,5,6,3,3,5,Carribean Islands
To learn more about a language or a culture,Time,Nature,An overnight backpacking trip on a volcano,4,Female,Yes,5,6,3,3,5,Carribean Islands
To explore architecture and history,Time,Surf,An overnight backpacking trip on a volcano,4,Female,Yes,5,6,3,3,5,Carribean Islands
To explore architecture and history,Time,Hike,An overnight backpacking trip on a volcano,4,Female,Yes,5,6,3,3,5,Carribean Islands
To explore architecture and history,Time,Snorkel,An overnight backpacking trip on a volcano,4,Female,Yes,5,6,3,3,5,Carribean Islands
To explore architecture and history,Time,Nature,An overnight backpacking trip on a volcano,4,Female,Yes,5,6,3,3,5,Carribean Islands
To go on an adventure,Time,Surf,An overnight backpacking trip on a volcano,4,Female,Yes,5,6,3,3,5,Carribean Islands
To go on an adventure,Time,Hike,An overnight backpacking trip on a volcano,4,Female,Yes,5,6,3,3,5,Carribean Islands
To go on an adventure,Time,Snorkel,An overnight backpacking trip on a volcano,4,Female,Yes,5,6,3,3,5,Carribean Islands
To go on an adventure,Time,Nature,An overnight backpacking trip on a volcano,4,Female,Yes,5,6,3,3,5,Carribean Islands
To look at and appreciate beautiful places,Time,Surf,An overnight backpacking trip on a volcano,4,Female,Yes,5,6,3,3,5,Carribean Islands
To look at and appreciate beautiful places,Time,Hike,An overnight backpacking trip on a volcano,4,Female,Yes,5,6,3,3,5,Carribean Islands
To look at and appreciate beautiful places,Time,Snorkel,An overnight backpacking trip on a volcano,4,Female,Yes,5,6,3,3,5,Carribean Islands
To look at and appreciate beautiful places,Time,Nature,An overnight backpacking trip on a volcano,4,Female,Yes,5,6,3,3,5,Carribean Islands
To share travel stories and view with friends and family back home,Time,Surf,An overnight backpacking trip on a volcano,4,Female,Yes,5,6,3,3,5,Carribean Islands
To share travel stories and view with friends and family back home,Time,Hike,An overnight backpacking trip on a volcano,4,Female,Yes,5,6,3,3,5,Carribean Islands
To share travel stories and view with friends and family back home,Time,Snorkel,An overnight backpacking trip on a volcano,4,Female,Yes,5,6,3,3,5,Carribean Islands
To share travel stories and view with friends and family back home,Time,Nature,An overnight backpacking trip on a volcano,4,Female,Yes,5,6,3,3,5,Carribean Islands
To see the wonders of nature,Variety of activities at destination,Beach,An overnight backpacking trip on a volcano,4,Female,Yes,6,7,3,4,6,Carribean Islands
To see the wonders of nature,Variety of activities at destination,History,An overnight backpacking trip on a volcano,4,Female,Yes,6,7,3,4,6,Carribean Islands
To see the wonders of nature,Variety of activities at destination,Hike,An overnight backpacking trip on a volcano,4,Female,Yes,6,7,3,4,6,Carribean Islands
To see the wonders of nature,Variety of activities at destination,Surf,An overnight backpacking trip on a volcano,4,Female,Yes,6,7,3,4,6,Carribean Islands
To see the wonders of nature,Variety of activities at destination,Food,An overnight backpacking trip on a volcano,4,Female,Yes,6,7,3,4,6,Carribean Islands
To see the wonders of nature,Variety of activities at destination,Island,An overnight backpacking trip on a volcano,4,Female,Yes,6,7,3,4,6,Carribean Islands
To learn more about a language or a culture,Variety of activities at destination,Beach,An overnight backpacking trip on a volcano,4,Female,Yes,6,7,3,4,6,Carribean Islands
To learn more about a language or a culture,Variety of activities at destination,History,An overnight backpacking trip on a volcano,4,Female,Yes,6,7,3,4,6,Carribean Islands
To learn more about a language or a culture,Variety of activities at destination,Hike,An overnight backpacking trip on a volcano,4,Female,Yes,6,7,3,4,6,Carribean Islands
To learn more about a language or a culture,Variety of activities at destination,Surf,An overnight backpacking trip on a volcano,4,Female,Yes,6,7,3,4,6,Carribean Islands
To learn more about a language or a culture,Variety of activities at destination,Food,An overnight backpacking trip on a volcano,4,Female,Yes,6,7,3,4,6,Carribean Islands
To learn more about a language or a culture,Variety of activities at destination,Island,An overnight backpacking trip on a volcano,4,Female,Yes,6,7,3,4,6,Carribean Islands
To spend quality time with family/friends,Variety of activities at destination,Beach,An overnight backpacking trip on a volcano,4,Female,Yes,6,7,3,4,6,Carribean Islands
To spend quality time with family/friends,Variety of activities at destination,History,An overnight backpacking trip on a volcano,4,Female,Yes,6,7,3,4,6,Carribean Islands
To spend quality time with family/friends,Variety of activities at destination,Hike,An overnight backpacking trip on a volcano,4,Female,Yes,6,7,3,4,6,Carribean Islands
To spend quality time with family/friends,Variety of activities at destination,Surf,An overnight backpacking trip on a volcano,4,Female,Yes,6,7,3,4,6,Carribean Islands
To spend quality time with family/friends,Variety of activities at destination,Food,An overnight backpacking trip on a volcano,4,Female,Yes,6,7,3,4,6,Carribean Islands
To spend quality time with family/friends,Variety of activities at destination,Island,An overnight backpacking trip on a volcano,4,Female,Yes,6,7,3,4,6,Carribean Islands
To explore architecture and history,Variety of activities at destination,Beach,An overnight backpacking trip on a volcano,4,Female,Yes,6,7,3,4,6,Carribean Islands
To explore architecture and history,Variety of activities at destination,History,An overnight backpacking trip on a volcano,4,Female,Yes,6,7,3,4,6,Carribean Islands
To explore architecture and history,Variety of activities at destination,Hike,An overnight backpacking trip on a volcano,4,Female,Yes,6,7,3,4,6,Carribean Islands
To explore architecture and history,Variety of activities at destination,Surf,An overnight backpacking trip on a volcano,4,Female,Yes,6,7,3,4,6,Carribean Islands
To explore architecture and history,Variety of activities at destination,Food,An overnight backpacking trip on a volcano,4,Female,Yes,6,7,3,4,6,Carribean Islands
To explore architecture and history,Variety of activities at destination,Island,An overnight backpacking trip on a volcano,4,Female,Yes,6,7,3,4,6,Carribean Islands
To go on an adventure,Variety of activities at destination,Beach,An overnight backpacking trip on a volcano,4,Female,Yes,6,7,3,4,6,Carribean Islands
To go on an adventure,Variety of activities at destination,History,An overnight backpacking trip on a volcano,4,Female,Yes,6,7,3,4,6,Carribean Islands
To go on an adventure,Variety of activities at destination,Hike,An overnight backpacking trip on a volcano,4,Female,Yes,6,7,3,4,6,Carribean Islands
To go on an adventure,Variety of activities at destination,Surf,An overnight backpacking trip on a volcano,4,Female,Yes,6,7,3,4,6,Carribean Islands
To go on an adventure,Variety of activities at destination,Food,An overnight backpacking trip on a volcano,4,Female,Yes,6,7,3,4,6,Carribean Islands
To go on an adventure,Variety of activities at destination,Island,An overnight backpacking trip on a volcano,4,Female,Yes,6,7,3,4,6,Carribean Islands
To look at and appreciate beautiful places,Variety of activities at destination,Beach,An overnight backpacking trip on a volcano,4,Female,Yes,6,7,3,4,6,Carribean Islands
To look at and appreciate beautiful places,Variety of activities at destination,History,An overnight backpacking trip on a volcano,4,Female,Yes,6,7,3,4,6,Carribean Islands
To look at and appreciate beautiful places,Variety of activities at destination,Hike,An overnight backpacking trip on a volcano,4,Female,Yes,6,7,3,4,6,Carribean Islands
To look at and appreciate beautiful places,Variety of activities at destination,Surf,An overnight backpacking trip on a volcano,4,Female,Yes,6,7,3,4,6,Carribean Islands
To look at and appreciate beautiful places,Variety of activities at destination,Food,An overnight backpacking trip on a volcano,4,Female,Yes,6,7,3,4,6,Carribean Islands
To look at and appreciate beautiful places,Variety of activities at destination,Island,An overnight backpacking trip on a volcano,4,Female,Yes,6,7,3,4,6,Carribean Islands
To meet new people,Budget,Volunteer,An old city with interesting architecture,3,Female,Yes,5,4,7,6,4,Carribean Islands
To meet new people,Budget,Sightsee,An old city with interesting architecture,3,Female,Yes,5,4,7,6,4,Carribean Islands
To meet new people,Budget,Camp,An old city with interesting architecture,3,Female,Yes,5,4,7,6,4,Carribean Islands
To meet new people,Budget,Swim,An old city with interesting architecture,3,Female,Yes,5,4,7,6,4,Carribean Islands
To meet new people,Budget,Snorkel,An old city with interesting architecture,3,Female,Yes,5,4,7,6,4,Carribean Islands
To see the wonders of nature,Budget,Volunteer,An old city with interesting architecture,3,Female,Yes,5,4,7,6,4,Carribean Islands
To see the wonders of nature,Budget,Sightsee,An old city with interesting architecture,3,Female,Yes,5,4,7,6,4,Carribean Islands
To see the wonders of nature,Budget,Camp,An old city with interesting architecture,3,Female,Yes,5,4,7,6,4,Carribean Islands
To see the wonders of nature,Budget,Swim,An old city with interesting architecture,3,Female,Yes,5,4,7,6,4,Carribean Islands
To see the wonders of nature,Budget,Snorkel,An old city with interesting architecture,3,Female,Yes,5,4,7,6,4,Carribean Islands
To learn more about a language or a culture,Budget,Volunteer,An old city with interesting architecture,3,Female,Yes,5,4,7,6,4,Carribean Islands
To learn more about a language or a culture,Budget,Sightsee,An old city with interesting architecture,3,Female,Yes,5,4,7,6,4,Carribean Islands
To learn more about a language or a culture,Budget,Camp,An old city with interesting architecture,3,Female,Yes,5,4,7,6,4,Carribean Islands
To learn more about a language or a culture,Budget,Swim,An old city with interesting architecture,3,Female,Yes,5,4,7,6,4,Carribean Islands
To learn more about a language or a culture,Budget,Snorkel,An old city with interesting architecture,3,Female,Yes,5,4,7,6,4,Carribean Islands
To explore architecture and history,Budget,Volunteer,An old city with interesting architecture,3,Female,Yes,5,4,7,6,4,Carribean Islands
To explore architecture and history,Budget,Sightsee,An old city with interesting architecture,3,Female,Yes,5,4,7,6,4,Carribean Islands
To explore architecture and history,Budget,Camp,An old city with interesting architecture,3,Female,Yes,5,4,7,6,4,Carribean Islands
To explore architecture and history,Budget,Swim,An old city with interesting architecture,3,Female,Yes,5,4,7,6,4,Carribean Islands
To explore architecture and history,Budget,Snorkel,An old city with interesting architecture,3,Female,Yes,5,4,7,6,4,Carribean Islands
To go on an adventure,Budget,Volunteer,An old city with interesting architecture,3,Female,Yes,5,4,7,6,4,Carribean Islands
To go on an adventure,Budget,Sightsee,An old city with interesting architecture,3,Female,Yes,5,4,7,6,4,Carribean Islands
To go on an adventure,Budget,Camp,An old city with interesting architecture,3,Female,Yes,5,4,7,6,4,Carribean Islands
To go on an adventure,Budget,Swim,An old city with interesting architecture,3,Female,Yes,5,4,7,6,4,Carribean Islands
To go on an adventure,Budget,Snorkel,An old city with interesting architecture,3,Female,Yes,5,4,7,6,4,Carribean Islands
